Id,Designator,Package,Quantity,Designation,Supplier and ref
1,C2,C_0201_0603Metric,1,2.2u,
2,"J2,J3,J1",PinHeader_1x04_P1.27mm_Vertical,3,Conn_01x04_Male,
3,"R1,R2,R4,R3",R_0201_0603Metric,4,10k,
4,U2,Texas_S-PWQFN-N16_EP2.1x2.1mm_ThermalVias,1,DRV8833RTY,
5,C1,C_0201_0603Metric,1,0.1u,
6,"H2,H1",MountingHole_2.1mm,2,MountingHole,
7,R5,R_0201_0603Metric,1,47k,
8,C3,C_0201_0603Metric,1,10n,
9,U1,VFLGA-12_2x2mm,1,LIS3MDLTR,
